timestamp,symbol,strategy,action,price,quantity,balance,pnl,trade_id,status
2025-09-04 05:15:00+05:30,BTCUSDT,Moving Average Crossover,SELL,111705.71,0.08952093854468138,0,0,1,open
2025-09-04 05:45:00+05:30,BTCUSDT,Moving Average Crossover,EXIT,112005.0,0.08952093854468138,9973.207278302962,-0.0026792721697037115,1,sl_hit
2025-09-04 06:15:00+05:30,BTCUSDT,Moving Average Crossover,BUY,112065.61,0.08899436034215101,0,0,2,open
2025-09-04 06:30:00+05:30,BTCUSDT,Moving Average Crossover,EXIT,111704.81,0.08899436034215101,9941.098113091513,-0.003219542551903326,2,sl_hit
2025-09-04 07:15:00+05:30,BTCUSDT,Moving Average Crossover,SELL,111947.48,0.0888014461164424,0,0,3,open
2025-09-04 07:45:00+05:30,BTCUSDT,Moving Average Crossover,EXIT,111430.46,0.0888014461164424,9987.010236762635,0.004618415707079691,3,tp_hit
2025-09-05 02:30:00+05:30,BTCUSDT,Moving Average Crossover,BUY,110344.17,0.09050781964069905,0,0,4,open
2025-09-05 03:45:00+05:30,BTCUSDT,Moving Average Crossover,EXIT,110823.61,0.09050781964069905,10030.403305811173,0.00434495089319175,4,tp_hit
2025-09-05 20:15:00+05:30,BTCUSDT,Moving Average Crossover,SELL,110569.99,0.09071542202193536,0,0,5,open
2025-09-06 00:00:00+05:30,BTCUSDT,Moving Average Crossover,EXIT,111233.7,0.09071542202193536,9970.194573060995,-0.006002623315783892,5,sl_hit
